School_Name,Satety_Rating,Family_Rating,Environment_Rating,Instruction_Rating,Leaders_Rating,Teacher_Rating
"James Wadsworth Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"James Ward Elementary School","Average","Strong","Average","Average","Weak","Average"
"James Weldon Johnson Elementary School","Strong","Weak","Strong","Strong","Weak","Strong"
"Jane Addams Elementary School","Average","Average","Average","Average","Weak","Average"
"Jane A Neil Elementary School","Average","Average","Weak","Weak","Weak","Weak"
"Jean Baptiste Beaubien Elementary School","Strong","NDA","Average","Average","Weak","NDA"
"Jean D Lafayette Elementary School","Average","Average","Average","Weak","Weak","Strong"
"Jensen Elementary Scholastic Academy","Weak","Average","Average","Strong","Weak","Average"
"Jesse Owens Elementary Community Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Jesse Sherwood Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Johann W von Goethe Elementary School","Strong","Strong","Strong","Average","Weak","Strong"
"John A Walsh Elementary School","Strong","NDA","Strong","Very Strong","Weak","NDA"
"John Barry Elementary School","Weak","Average","Strong","Very Strong","Weak","Average"
"John B Drake Elementary School","Average","Weak","Average","Average","Weak","Very Weak"
"John B Murphy Elementary School","Very Strong","NDA","Strong","Average","Weak","NDA"
"John Calhoun North Elementary School","Average","Average","Average","Average","Weak","Very Strong"
"John C Burroughs Elementary School","Average","Average","Weak","Weak","Weak","Average"
"John C Coonley Elementary School","Very Strong","Very Strong","Strong","Weak","Weak","Average"
"John C Dore Elementary School","Strong","Strong","Strong","Strong","Weak","Average"
"John Charles Haines Elementary School","Weak","Average","Weak","Weak","Weak","Average"
"John D Shoop Math-Science Technical Academy Elementary School","Weak","Average","Average","Average","Weak","Average"
"John F Eberhart Elementary School","Average","Average","Weak","Weak","Weak","Weak"
"John Fiske Elementary School","Very Weak","Weak","Weak","Average","Weak","Weak"
"John F Kennedy High School","Average","Weak","Weak","Weak","Weak","Weak"
"John Foster Dulles Elementary School","Average","Weak","Average","Average","Weak","Weak"
"John Greenleaf Whittier Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"John Hancock College Preparatory High School","Average","Average","Average","Average","Weak","Average"
"John Harvard Elementary School of Excellence","Average","Weak","Strong","Strong","Weak","Weak"
"John Hay Elementary Community Academy","Average","NDA","Average","Strong","Weak","NDA"
"John H Hamline Elementary School","Weak","Weak","Weak","Average","Weak","Weak"
"John H Kinzie Elementary School","Strong","NDA","Average","Average","Weak","NDA"
"John H Vanderpoel Elementary Magnet School","Strong","NDA","Weak","Weak","Weak","NDA"
"John J Audubon Elementary School","Very Strong","Strong","Strong","Strong","Weak","Strong"
"John J Pershing Elementary Humanities Magnet","NDA","Very Strong","NDA","NDA","Weak","Strong"
"John L Marsh Elementary School","Strong","Average","Average","Weak","Weak","Average"
"John Marshall Metropolitan High School","Average","Average","Average","Average","Weak","Average"
"John M Harlan Community Academy High School","NDA","NDA","NDA","NDA","Weak","NDA"
"John Milton Gregory Elementary School","Average","Average","Weak","Average","Weak","Average"
"John M Smyth Elementary School","Weak","NDA","Average","Strong","Weak","NDA"
"Johnnie Colemon Elementary Academy","Strong","NDA","Average","Strong","Weak","NDA"
"John Palmer Elementary School","Strong","NDA","Strong","Strong","Weak","NDA"
"John P Altgeld Elementary School","Average","Weak","Strong","Average","Weak","Weak"
"John Spry Elementary Community School","Strong","Average","Strong","Strong","Weak","Average"
"John T McCutcheon Elementary School","Average","Weak","Strong","Average","Weak","Average"
"John T Pirie Fine Arts & Academic Center Elementary School","Weak","Average","Strong","Strong","Weak","Average"
"John W Cook Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"John W Garvy Elementary School","Strong","Strong","Average","Average","Weak","Average"
"John Whistler Elementary School","Average","Weak","Average","Weak","Weak","Weak"
"Jonathan Burr Elementary School","Strong","Strong","Strong","Average","Weak","Strong"
"Jonathan Y Scammon Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Jordan Elementary Community School","Strong","Weak","Average","Average","Weak","Very Weak"
"Jose De Diego Elementary Community Academy","Average","Average","Weak","Average","Weak","Strong"
"Josefa Ortiz De Dominguez Elementary School","NDA","Strong","NDA","NDA","Weak","Average"
"Joseph Brennemann Elementary School","Average","Average","Average","Average","Weak","Average"
"Joseph E Gary Elementary School","Weak","Weak","Weak","Weak","Weak","Very Weak"
"Josephine C Locke Elementary School","Average","Average","Average","Average","Weak","Average"
"Joseph Jungman Elementary School","Weak","Weak","Average","Average","Weak","Average"
"Joseph Kellman Corporate Community Elementary School","Average","Strong","Average","Average","Weak","Average"
"Joseph Lovett Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Joseph Stockton Elementary School","Weak","NDA","Average","Strong","Weak","NDA"
"Joseph Warren Elementary School","Weak","Average","Average","Average","Weak","NDA"
"Joshua D Kershaw Elementary School","Strong","Strong","Strong","Average","Weak","Average"
"Josiah Pickard Elementary School","Average","Weak","Weak","Weak","Weak","Weak"
"Joyce Kilmer Elementary School","NDA","Average","NDA","NDA","Weak","Average"
"Julia C Lathrop Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Julia Ward Howe Elementary School of Excellence","Strong","Average","Very Strong","Strong","Weak","Strong"
"Kate S Buckingham Special Education Center","Weak","NDA","Weak","Weak","Weak","NDA"
"Kate S Kellogg Elementary School","Strong","NDA","Average","Strong","Weak","NDA"
"Kelvyn Park High School","Weak","Weak","Weak","Weak","Weak","Average"
"Kenwood Academy High School","Strong","NDA","Average","Average","Weak","NDA"
"Lake View High School","Strong","NDA","Average","Average","Weak","NDA"
"Langston Hughes Elementary School","Weak","Average","Very Weak","Weak","Weak","Average"
"LaSalle Elementary Language Academy","Very Strong","Strong","Strong","Average","Weak","Average"
"LaSalle II Magnet Elementary School","Strong","Very Strong","Weak","Average","Weak","Strong"
"Laughlin Falconer Elementary School","Average","Weak","Average","Weak","Weak","Weak"
"Laura S Ward Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Lawndale Elementary Community Academy","NDA","NDA","NDA","NDA","Weak","NDA"
"Lazaro Cardenas Elementary School","NDA","Average","NDA","NDA","Weak","Average"
"Leif Ericson Elementary Scholastic Academy","Weak","NDA","Average","Average","Weak","NDA"
